date,value,volume,open,close,name
1/2/2018,706.73,58275,716.7,706.73,APU
1/3/2018,701.39,75689,706.73,701.39,APU
1/4/2018,698.41,16623,701.39,698.41,APU
1/5/2018,692.24,41398,698.41,692.24,APU
1/8/2018,693.12,63933,692.24,693.12,APU
1/9/2018,696.46,55625,693.12,696.46,APU
1/10/2018,686.27,27902,696.46,686.27,APU
1/11/2018,684.28,18019,686.27,684.28,APU
1/12/2018,681.16,63042,684.28,681.16,APU
1/15/2018,682.24,73872,681.16,682.24,APU
1/16/2018,703.45,172695,682.24,703.45,APU
1/17/2018,706.08,119234,703.45,706.08,APU
1/18/2018,702.21,73187,706.08,702.21,APU
1/19/2018,702.59,105059,702.21,702.59,APU
1/22/2018,700.87,33320,702.59,700.87,APU
1/23/2018,705.86,59830,700.87,705.86,APU
1/24/2018,703.96,103293,705.86,703.96,APU
1/25/2018,705.22,67407,703.96,705.22,APU
1/26/2018,705.86,80422,705.22,705.86,APU
1/29/2018,701.73,51728,705.86,701.73,APU
1/30/2018,691.68,31087,701.73,691.68,APU
1/31/2018,685.5,10223,691.68,685.5,APU
2/1/2018,698.9,14429,685.5,698.9,APU
2/2/2018,699.13,20035,698.9,699.13,APU
2/5/2018,700.56,261258,699.13,700.56,APU
2/6/2018,700.45,49167,700.56,700.45,APU
2/7/2018,699.63,27046,700.45,699.63,APU
2/8/2018,699.96,60548,699.63,699.96,APU
2/9/2018,699.93,90171,699.96,699.93,APU
2/12/2018,698.71,43029,699.93,698.71,APU
2/13/2018,698.77,47983,698.71,698.77,APU
2/14/2018,701.52,14046,698.77,701.52,APU
2/15/2018,702.26,15850,701.52,702.26,APU
2/19/2018,700.44,17429,702.26,700.44,APU
2/20/2018,695.05,17060,700.44,695.05,APU
2/21/2018,695.92,43791,695.05,695.92,APU
2/22/2018,673.79,35910,695.92,673.79,APU
2/23/2018,673.38,15074,673.79,673.38,APU
2/26/2018,673.75,12058,673.38,673.75,APU
2/27/2018,670.17,12329,673.75,670.17,APU
2/28/2018,669.71,24478,670.17,669.71,APU
3/1/2018,660.76,69986,669.71,660.76,APU
3/2/2018,648.19,48834,660.76,648.19,APU
3/5/2018,668.23,58120,648.19,668.23,APU
3/6/2018,675.01,55968,668.23,675.01,APU
3/7/2018,686.75,46500,675.01,686.75,APU
3/9/2018,688.47,34182,686.75,688.47,APU
3/12/2018,686.45,54534,688.47,686.45,APU
3/13/2018,683.13,39816,686.45,683.13,APU
3/14/2018,677.27,75594,683.13,677.27,APU
3/15/2018,675.37,25004,677.27,675.37,APU
3/16/2018,670.86,44958,675.37,670.86,APU
3/19/2018,651.64,79621,670.86,651.64,APU
3/20/2018,662.03,33388,651.64,662.03,APU
3/21/2018,654.38,72418,662.03,654.38,APU
3/22/2018,658.31,57863,654.38,658.31,APU
3/23/2018,662.54,38439,658.31,662.54,APU
3/26/2018,660.66,49501,662.54,660.66,APU
3/27/2018,649.45,46428,660.66,649.45,APU
3/28/2018,653.08,12558,649.45,653.08,APU
3/29/2018,648.98,42952,653.08,648.98,APU
3/30/2018,647.39,30003,648.98,647.39,APU
4/2/2018,648,6405,647.39,648,APU
4/3/2018,640.54,26795,648,640.54,APU
4/4/2018,621.96,37382,640.54,621.96,APU
4/5/2018,612.79,21434,621.96,612.79,APU
4/6/2018,612.82,52167,612.79,612.82,APU
4/9/2018,614.9,12144,612.82,614.9,APU
4/10/2018,611.31,10942,614.9,611.31,APU
4/11/2018,601.91,19979,611.31,601.91,APU
4/12/2018,591.55,13418,601.91,591.55,APU
4/13/2018,603.76,37121,591.55,603.76,APU
4/16/2018,616.97,22449,603.76,616.97,APU
4/17/2018,649.94,11445,616.97,649.94,APU
4/18/2018,633.97,48300,649.94,633.97,APU
4/19/2018,661.01,37200,633.97,661.01,APU
4/20/2018,657.19,31702,661.01,657.19,APU
4/23/2018,647.18,11257,657.19,647.18,APU
4/24/2018,630.09,84001,647.18,630.09,APU
4/25/2018,640,27746,630.09,640,APU
4/26/2018,629.31,23498,640,629.31,APU
4/27/2018,645.44,72147,629.31,645.44,APU
4/30/2018,630.7,45549,645.44,630.7,APU
5/1/2018,624.85,28022,630.7,624.85,APU
5/2/2018,635.71,565,624.85,635.71,APU
5/3/2018,629.47,13397,635.71,629.47,APU
5/4/2018,625.01,17771,629.47,625.01,APU
5/7/2018,621.22,137035,625.01,621.22,APU
5/8/2018,617.95,22785,621.22,617.95,APU
5/9/2018,600.13,29218,617.95,600.13,APU
5/10/2018,596.85,76540,600.13,596.85,APU
5/11/2018,597.24,34996,596.85,597.24,APU
5/14/2018,582.66,96535,597.24,582.66,APU
5/15/2018,585.62,12879,582.66,585.62,APU
5/16/2018,577.14,23135,585.62,577.14,APU
5/17/2018,572.63,28238,577.14,572.63,APU
5/18/2018,564.38,84424,572.63,564.38,APU
5/21/2018,565.21,44726,564.38,565.21,APU
5/22/2018,601.24,69466,565.21,601.24,APU
5/23/2018,618,38470,601.24,618,APU
5/24/2018,619.55,18049,618,619.55,APU
5/25/2018,650.08,64472,619.55,650.08,APU
5/28/2018,628.97,23850,650.08,628.97,APU
5/29/2018,632.77,4981,628.97,632.77,APU
5/30/2018,630,31092,632.77,630,APU
5/31/2018,628,3064,630,628,APU
6/4/2018,604.78,22198,628,604.78,APU
6/5/2018,602.59,15969,604.78,602.59,APU
6/6/2018,600.2,16253,602.59,600.2,APU
6/7/2018,590.67,29893,600.2,590.67,APU
6/8/2018,587.25,75849,590.67,587.25,APU
6/11/2018,579.32,74931,587.25,579.32,APU
6/12/2018,581.64,74833,579.32,581.64,APU
6/13/2018,582.8,43195,581.64,582.8,APU
6/14/2018,586.77,20320,582.8,586.77,APU
6/15/2018,594.85,28263,586.77,594.85,APU
6/18/2018,590,5951,594.85,590,APU
6/19/2018,585.74,24322,590,585.74,APU
6/20/2018,581.39,35418,585.74,581.39,APU
