date,value,volume,open,close,name
1/2/2018,249.42,6513,249.42,249.42,SUU
1/3/2018,250.58,13375,249.42,250.58,SUU
1/4/2018,255.12,4240,250.58,255.12,SUU
1/5/2018,261.28,4035,255.12,261.28,SUU
1/8/2018,258.51,473,261.28,258.51,SUU
1/9/2018,252.46,9146,258.51,252.46,SUU
1/10/2018,255.68,5441,252.46,255.68,SUU
1/11/2018,254.25,6238,255.68,254.25,SUU
1/12/2018,251.82,11549,254.25,251.82,SUU
1/15/2018,251.18,9393,251.82,251.18,SUU
1/16/2018,250.92,1305,251.18,250.92,SUU
1/17/2018,250.62,11984,250.92,250.62,SUU
1/18/2018,251.09,22901,250.62,251.09,SUU
1/19/2018,255.12,3857,251.09,255.12,SUU
1/22/2018,257.9,1156,255.12,257.9,SUU
1/23/2018,256.29,14251,257.9,256.29,SUU
1/24/2018,259.97,12504,256.29,259.97,SUU
1/25/2018,257.5,805,259.97,257.5,SUU
1/26/2018,259.01,2194,257.5,259.01,SUU
1/29/2018,258.36,1644,259.01,258.36,SUU
1/30/2018,256.3,11102,258.36,256.3,SUU
1/31/2018,253.89,3057,256.3,253.89,SUU
2/1/2018,252.6,7940,253.89,252.6,SUU
2/2/2018,251.74,11820,252.6,251.74,SUU
2/5/2018,255.42,14226,251.74,255.42,SUU
2/6/2018,254.19,10116,255.42,254.19,SUU
2/7/2018,254.63,1680,254.19,254.63,SUU
2/8/2018,257.65,851,254.63,257.65,SUU
2/9/2018,255,627,257.65,255,SUU
2/12/2018,250.9,13798,255,250.9,SUU
2/13/2018,249.92,12066,250.9,249.92,SUU
2/14/2018,237.27,16145,249.92,237.27,SUU
2/15/2018,243.35,2730,237.27,243.35,SUU
2/19/2018,240.05,3395,243.35,240.05,SUU
2/20/2018,229.42,10787,240.05,229.42,SUU
2/21/2018,201.09,29044,229.42,201.09,SUU
2/22/2018,201.88,26889,201.09,201.88,SUU
2/23/2018,204.06,4308,201.88,204.06,SUU
2/26/2018,207.17,32986,204.06,207.17,SUU
2/27/2018,216.66,3172,207.17,216.66,SUU
2/28/2018,217.25,6356,216.66,217.25,SUU
3/1/2018,218.24,902,217.25,218.24,SUU
3/2/2018,219.89,662,218.24,219.89,SUU
3/5/2018,220,26639,219.89,220,SUU
3/6/2018,230.13,13552,220,230.13,SUU
3/7/2018,240,9236,230.13,240,SUU
3/9/2018,249.32,5190,240,249.32,SUU
3/12/2018,248,719,249.32,248,SUU
3/13/2018,240,1136,248,240,SUU
3/14/2018,244,300,240,244,SUU
3/15/2018,240.4,3140,244,240.4,SUU
3/16/2018,245,2820,240.4,245,SUU
3/19/2018,243,4052,245,243,SUU
3/20/2018,245,1277,243,245,SUU
3/21/2018,241.33,1306,245,241.33,SUU
3/22/2018,237.06,3731,241.33,237.06,SUU
3/23/2018,238,1199,237.06,238,SUU
3/26/2018,238.99,21841,238,238.99,SUU
3/27/2018,231.78,37860,238.99,231.78,SUU
3/28/2018,237,891,231.78,237,SUU
3/29/2018,233.77,1940,237,233.77,SUU
3/30/2018,230.87,7414,233.77,230.87,SUU
4/2/2018,230.72,14580,230.87,230.72,SUU
4/3/2018,223,19826,230.72,223,SUU
4/4/2018,224.05,1785,223,224.05,SUU
4/5/2018,224.54,7210,224.05,224.54,SUU
4/6/2018,230,1617,224.54,230,SUU
4/9/2018,222,6220,230,222,SUU
4/10/2018,225,15573,222,225,SUU
4/11/2018,223.54,6036,225,223.54,SUU
4/12/2018,206.37,8751,223.54,206.37,SUU
4/13/2018,220,1682,206.37,220,SUU
4/16/2018,222,5409,220,222,SUU
4/17/2018,225,440,222,225,SUU
4/18/2018,224.82,10214,225,224.82,SUU
4/19/2018,225,1671,224.82,225,SUU
4/20/2018,223,191,225,223,SUU
4/23/2018,222.51,1722,223,222.51,SUU
4/24/2018,222,2255,222.51,222,SUU
4/25/2018,222,108,222,222,SUU
4/26/2018,218,6384,222,218,SUU
4/27/2018,218,3330,218,218,SUU
4/30/2018,205.36,64942,218,205.36,SUU
5/1/2018,205.6,13298,205.36,205.6,SUU
5/2/2018,209.37,657,205.6,209.37,SUU
5/3/2018,217,3769,209.37,217,SUU
5/4/2018,218,335,217,218,SUU
5/7/2018,213,120,218,213,SUU
5/8/2018,212,13833,213,212,SUU
5/9/2018,208,1512,212,208,SUU
5/10/2018,209,210,208,209,SUU
5/11/2018,210,314,209,210,SUU
5/14/2018,202,7535,210,202,SUU
5/15/2018,204.71,27184,202,204.71,SUU
5/16/2018,201.6,23615,204.71,201.6,SUU
5/17/2018,209.67,30283,201.6,209.67,SUU
5/18/2018,210.65,23475,209.67,210.65,SUU
5/21/2018,216.04,23022,210.65,216.04,SUU
5/22/2018,218.94,27249,216.04,218.94,SUU
5/23/2018,218.61,18254,218.94,218.61,SUU
5/24/2018,204.17,1921,218.61,204.17,SUU
5/25/2018,219.81,16330,204.17,219.81,SUU
5/28/2018,225.17,22111,219.81,225.17,SUU
5/29/2018,225.15,26360,225.17,225.15,SUU
5/30/2018,223.58,10595,225.15,223.58,SUU
5/31/2018,224.39,19038,223.58,224.39,SUU
6/4/2018,219.71,31060,224.39,219.71,SUU
6/5/2018,223.89,23405,219.71,223.89,SUU
6/6/2018,222.33,3260,223.89,222.33,SUU
6/7/2018,225,1252,222.33,225,SUU
6/8/2018,222.23,3813,225,222.23,SUU
6/11/2018,225,100,222.23,225,SUU
6/12/2018,220,4206,225,220,SUU
6/13/2018,214.3,3376,220,214.3,SUU
6/14/2018,214.82,13802,214.3,214.82,SUU
6/15/2018,216.15,370,214.82,216.15,SUU
6/18/2018,214,5050,216.15,214,SUU
6/19/2018,208.16,13787,214,208.16,SUU
6/20/2018,209.2,8190,208.16,209.2,SUU
6/21/2018,215.44,7187,209.2,215.44,SUU
6/22/2018,209.97,14897,215.44,209.97,SUU
6/25/2018,214.9,506,209.97,214.9,SUU
6/26/2018,214.92,5853,214.9,214.92,SUU
6/27/2018,215.72,5355,214.92,215.72,SUU
6/28/2018,216,44600,215.72,216,SUU
6/29/2018,215,2108,216,215,SUU
7/2/2018,214.73,11200,215,214.73,SUU
7/3/2018,215,4500,214.73,215,SUU
7/4/2018,210,333,215,210,SUU
7/5/2018,213.33,13615,210,213.33,SUU
7/6/2018,216,8712,213.33,216,SUU
7/9/2018,217.74,8200,216,217.74,SUU
